SKU,EAN,"OLD EAN",stock
KF239,0732064577876,,0
KF2310,0732064577869,0732064577869,0
KF2311,0732064577852,0732064577852,0
KF2312,0732064577845,0732064577845,0
KF2313,0732064577838,0732064577838,0
KF2314,0732064577821,0732064577821,0
KF231592,0732064577814,0732064577814,10
KF231591,0732064577807,0732064577807,10
KF231590,0732064577791,0732064577791,10
KF231589,0732064577784,0732064577784,10
KF231588,0732064577777,0732064577777,10
KF231587,0732064577760,0732064577760,10
KF231586,0732064577753,0732064577753,10
KF231585,0732064577746,0732064577746,10
KF231584,0732064577739,0732064577739,10
KF231583,0732064577722,0732064577722,10
KF231582,0732064577715,0732064577715,0
KF231581,0732064577708,0732064577708,9
KF231580,0732064577692,0732064577692,10
KF231579,0732064577685,0732064577685,0
KF231578,0732064577678,0732064577678,10
KF231577,0732064577661,0732064577661,10
KF231576,0732064577654,0732064577654,0
KF231575,0732064577647,0732064577647,0
KF231574,0732064577630,0732064577630,10
KF231573,0732064577623,0732064577623,9
KF231572,0732064577616,0732064577616,10
KF231571,0732064577609,0732064577609,10
KF231570,0732064577593,0732064577593,10
KF231569,0732064577586,0732064577586,10
KF231568,0732064577579,0732064577579,6
KF231677,0732064577562,0732064577562,0
KF231567,0732064577555,0732064577555,10
KF231566,0732064577548,0732064577548,10
KF231565,0732064577531,0732064577531,10
KF231564,0732064577524,0732064577524,0
KF231563,0732064577517,0732064577517,10
KF231562,0732064577500,0732064577500,0
KF231561,0732064577494,0732064577494,3
KF231560,0732064577487,0732064577487,4
KF231559,0732064577470,0732064577470,0
KF231558,0732064577463,0732064577463,2
KF231557,0732064577456,0732064577456,10
KF231556,0732064577449,0732064577449,10
KF231555,0732064577432,0732064577432,10
KF231554,0732064577425,0732064577425,10
KF231553,0732064577418,0732064577418,10
KF231552,0732064577401,0732064577401,10
KF231551,0732064577395,0732064577395,10
KF231550,0732064577388,0732064577388,0
KF231549,0732064577371,0732064577371,10
KF231548,0732064577364,0732064577364,0
KF231547,0732064577357,0732064577357,10
KF231546,0732064577340,0732064577340,10
KF231545,0732064577333,0732064577333,10
KF231544,0732064577326,0732064577326,10
KF231543,0732064577319,0732064577319,10
KF231542,0732064577302,0732064577302,10
KF231541,0732064577296,0732064577296,9
KF231540,0732064577289,0732064577289,10
KF231539,0732064577272,0732064577272,10
KF231538,0732064577265,0732064577265,10
KF231537,0732064577258,0732064577258,10
KF231536,0732064577241,0732064577241,0
KF231535,0732064577234,0732064577234,0
KF231534,0732064577227,0732064577227,10
KF231533,0732064577210,0732064577210,7
KF231532,0732064577203,0732064577203,10
KF231531,0732064577197,0732064577197,10
KF231530,0732064577180,0732064577180,9
KF231529,0732064577173,0732064577173,0
KF231528,0732064577166,0732064577166,10
KF231527,0732064577159,0732064577159,10
KF231526,0732064577142,0732064577142,10
KF231525,0732064577135,0732064577135,0
KF231524,0732064577128,0732064577128,10
KF231523,0732064577111,0732064577111,7
KF231522,0732064577104,0732064577104,10
KF231521,0732064577098,0732064577098,10
KF231520,0732064577081,0732064577081,10
KF231519,0732064577074,0732064577074,0
KF231518,0732064577067,0732064577067,0
KF231517,0732064577050,0732064577050,10
KF231608,0732064577043,0732064577043,10
KF231611,0732064577036,0732064577036,10
KF231604,0732064577029,0732064577029,10
KF2315,0732064577012,0732064577012,0
KF2316,0732064577005,0732064577005,0
KF2317,0732064576992,0732064576992,0
KF2318,0732064576985,0732064576985,0
KF2319,0732064576978,0732064576978,0
KF2320,0732064576961,0732064576961,0
KF231678,0732064576954,0732064576954,0
KF2321,0732064576947,0732064576947,0
KF231679,0732064576930,0732064576930,0
KF2322,0732064576923,0732064576923,0
KF2323,0732064576916,0732064576916,0
KF2324,0732064576909,0732064576909,0
KF2325,0732064576893,0732064576893,0
KF2326,0732064576886,0732064576886,0
KF2327,0732064576879,0732064576879,0
KF2328,0732064576862,0732064576862,0
KF2329,0732064576855,0732064576855,0
KF2330,0732064576848,0732064576848,0
KF2331,0732064576831,0732064576831,0
KF2332,0732064576824,0732064576824,0
KF2333,0732064576817,0732064576817,0
KF2334,0732064576800,0732064576800,0
KF2335,0732064576794,0732064576794,0
KF2336,0732064576787,0732064576787,0
KF2337,0732064576770,0732064576770,0
KF2338,0732064576763,0732064576763,0
KF2339,0732064576756,0732064576756,0
KF2340,0732064576749,0732064576749,0
KF231680,0732064576732,0732064576732,0
KF231681,0732064576725,0732064576725,0
KF2341,0732064576718,0732064576718,0
KF2342,0732064576701,0732064576701,0
KF2343,0732064576695,0732064576695,0
KF2344,0732064576688,0732064576688,0
KF2345,0732064576671,0732064576671,0
KF2346,0732064576664,0732064576664,0
KF2347,0732064576657,0732064576657,0
KF2348,0732064576640,0732064576640,0
KF2349,0732064576633,0732064576633,0
KF2350,0732064576626,0732064576626,0
KF2351,0732064576619,0732064576619,0
KF2352,0732064576602,0732064576602,0
KF2353,0732064576596,0732064576596,0
KF2354,0732064576589,0732064576589,0
KF231682,0732064576572,0732064576572,0
KF2355,0732064576565,0732064576565,0
KF2356,0732064576558,0732064576558,0
KF2357,0732064576541,0732064576541,0
KF2358,0732064576534,0732064576534,0
KF2359,0732064576527,0732064576527,0
KF2360,0732064576510,0732064576510,0
